Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
262,359.305926,56.664348,359.306087,56.664473,423,167,423.336,167.452,1,+304345,1.0000,+1433.76,adu,-13.7084,+0.0051,1,E,7054.925781,7011.208193,7116.034889,7007.335938,7118.511794,0.000000,187.980964,110.705781,6,6,6,0,9,15,113.84,0,446,4.05,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
263,359.611251,56.667813,359.611172,56.667926,1043,166,1042.847,166.418,1,+25323.7,1.0000,+682.584,adu,-11.0088,+0.0293,1,E,6983.270508,6984.090838,6994.388406,6986.103516,6994.773763,0.000000,73.504721,55.527559,6,6,6,0,9,15,113.84,0,446,3.94,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
264,359.198122,56.662308,359.197950,56.662544,204,165,203.672,165.880,1,+12327.3,1.0000,+881.662,adu,-10.2272,+0.0777,1,E,7020.943848,6985.502450,7045.809800,7000.503418,7046.521792,0.000000,100.279713,73.217393,6,6,6,0,9,15,113.84,0,449,1.15,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
265,359.365027,56.664859,359.366453,56.667667,543,166,546.139,176.289,1,+868989,1.0000,+1505.81,adu,-14.8475,+0.0019,1,E,7059.352539,7016.848868,7101.688366,7003.512207,7103.555900,0.000000,163.058616,98.971758,6,6,6,0,9,15,113.84,0,448,10.51,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
266,359.366387,56.667588,359.366392,56.667673,546,176,546.017,176.316,1,+869573,1.0000,+1506.00,adu,-14.8483,+0.0019,1,E,7059.352539,7016.848868,7101.688366,7002.792480,7103.555900,0.000000,163.058616,98.971758,6,6,6,0,9,15,113.84,0,448,3.93,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
267,359.409848,56.665162,359.409862,56.665080,634,165,634.021,164.697,1,+12974.1,1.0000,+672.878,adu,-10.2827,+0.0563,1,E,7011.969727,6982.526302,7020.612845,7015.434082,7020.928905,0.000000,66.691916,55.551777,6,6,6,0,9,15,113.84,0,452,0.26,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
268,359.444285,56.666405,359.444498,56.666608,704,168,704.450,168.737,1,+139201,1.0000,+3015.99,adu,-12.8591,+0.0235,1,E,7092.292969,7034.309127,7310.855609,6996.720215,7334.645088,0.000000,590.920071,250.532891,6,6,6,0,9,15,113.84,0,449,1.30,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
269,359.300990,56.664553,359.306090,56.664471,413,168,423.342,167.445,1,+304299,1.0000,+1433.74,adu,-13.7083,+0.0051,1,E,7054.925781,7011.208193,7116.034889,7008.566406,7118.511794,0.000000,187.980964,110.705781,6,6,6,0,9,15,113.84,0,446,34.76,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
270,359.303884,56.665948,359.306108,56.664473,419,173,423.380,167.452,1,+304345,1.0000,+1433.76,adu,-13.7084,+0.0051,1,E,7054.925781,7011.208193,7116.034889,7008.455566,7118.511794,0.000000,187.980964,110.705781,6,6,6,0,9,15,113.84,0,446,4.04,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
271,359.220720,56.663715,359.220586,56.663735,250,169,249.731,169.081,1,+69575.8,1.0000,+806.271,adu,-12.1061,+0.0126,1,E,7019.310791,6984.441688,7078.123843,7008.799316,7082.606297,0.000000,252.222492,63.794189,6,6,6,0,9,15,113.84,0,450,3.89,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
