Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
994,359.477237,56.775811,359.472056,56.775534,780,570,769.491,569.218,1,+34812.8,1.0000,+627.333,adu,-11.3543,+0.0196,1,E,2579.791626,2563.000660,2651.347086,2572.044434,2662.281928,0.000000,241.318985,50.081289,6,6,6,0,9,15,113.84,0,444,10.41,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
995,359.343881,56.774611,359.343913,56.774816,510,572,510.083,572.757,1,+1513.48,1.0000,+1383.18,adu,-7.9499,+0.9922,1,E,2610.717529,2605.074442,2693.001794,2557.504883,2702.431818,0.000000,225.818909,115.583730,6,6,6,0,9,15,113.84,0,443,11.21,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
996,359.174010,56.772456,359.174254,56.772212,166,573,166.468,572.087,1,+5812.09,1.0000,+343.978,adu,-9.4108,+0.0643,1,E,2557.546997,2544.073242,2559.859375,2558.293945,2560.052732,0.000000,31.498634,28.097524,6,6,6,0,9,15,113.84,0,452,3.68,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
997,359.398129,56.776962,359.396611,56.776885,620,578,616.921,577.791,1,+32984.2,1.0000,+646.666,adu,-11.2958,+0.0213,1,E,2579.956665,2576.213422,2610.347737,2566.597656,2612.285569,0.000000,100.715119,51.871353,6,6,6,0,9,15,113.84,0,442,4.83,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
998,359.335449,56.775308,359.337360,56.777143,493,575,497.036,581.678,1,+53326.9,1.0000,+508.361,adu,-11.8174,+0.0103,1,E,2575.828003,2579.305419,2585.023746,2556.166992,2585.539122,0.000000,51.678971,37.919922,6,6,6,0,9,15,113.84,0,450,4.46,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
999,359.337351,56.776959,359.337400,56.777140,497,581,497.116,581.666,1,+53283.1,1.0000,+508.317,adu,-11.8165,+0.0104,1,E,2575.828003,2579.305419,2585.023746,2556.883301,2585.539122,0.000000,51.678971,37.919922,6,6,6,0,9,15,113.84,0,450,4.32,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1000,359.354166,56.776646,359.354027,56.776770,531,579,530.731,579.465,1,+257646,1.0000,+662.961,adu,-13.5276,+0.0028,1,E,2575.778931,2567.155319,2579.811493,2560.843018,2580.051624,0.000000,35.239245,35.707764,6,6,6,0,9,15,113.84,0,450,4.39,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1001,359.584351,56.778462,359.584586,56.778434,997,575,997.472,574.888,1,+5030.57,1.0000,+356.797,adu,-9.2540,+0.0770,1,E,2576.749756,2558.926179,2577.665864,2577.580811,2577.844911,0.000000,30.415642,29.310937,6,6,6,0,9,15,113.84,0,455,3.75,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1002,359.305783,56.775712,359.305991,56.775730,433,578,433.423,578.055,1,+25170.9,1.0000,+482.232,adu,-11.0022,+0.0208,1,E,2564.976807,2545.529435,2597.985776,2554.226318,2601.757109,0.000000,140.193537,38.077598,6,6,6,0,9,15,113.84,0,444,4.19,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1003,359.326548,56.775457,359.326306,56.775345,475,576,474.500,575.598,1,+4914.84,1.0000,+1026.79,adu,-9.2288,+0.2268,1,E,2574.933838,2553.211934,2657.408992,2555.190186,2673.503839,0.000000,293.242037,85.791392,6,6,6,0,9,15,113.84,0,451,11.07,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1004,359.382832,56.776488,359.382775,56.776783,589,577,588.911,578.089,1,+33745.8,1.0000,+843.008,adu,-11.3205,+0.0271,1,E,2575.724243,2554.679876,2684.770536,2569.073730,2707.595208,0.000000,351.221882,68.795024,6,6,6,0,9,15,113.84,0,444,4.35,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1005,359.400492,56.779430,359.403814,56.779447,625,587,631.724,586.899,1,+81545.1,1.0000,+931.317,adu,-12.2785,+0.0124,1,E,2580.447266,2563.203322,2619.324453,2566.657227,2621.503554,0.000000,106.984964,74.206309,6,6,6,0,9,15,113.84,0,449,5.35,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1006,359.441611,56.776985,359.440103,56.775462,708,576,704.815,570.448,1,+3531.46,1.0000,+305.836,adu,-8.8699,+0.0940,1,E,2559.825195,2552.048043,2559.977333,2566.656250,2560.110655,0.000000,26.155501,25.169438,6,6,6,0,9,15,113.84,0,459,0.26,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1007,359.456921,56.777180,359.460475,56.778225,739,576,746.283,579.692,1,+13391.4,1.0000,+518.005,adu,-10.3171,+0.0420,1,E,2583.016602,2576.845186,2605.464304,2569.512207,2607.162164,0.000000,94.181039,42.266899,6,6,6,0,9,15,113.84,0,449,3.92,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1008,359.529025,56.778074,359.529240,56.778847,885,576,885.498,578.842,1,+6854.29,1.0000,+372.824,adu,-9.5899,+0.0591,1,E,2573.513428,2567.196991,2577.498930,2574.417725,2577.772448,0.000000,37.592520,30.437134,6,6,6,0,9,15,113.84,0,450,2.83,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1009,359.528993,56.778886,359.529226,56.778846,885,579,885.470,578.841,1,+6854.29,1.0000,+372.824,adu,-9.5899,+0.0591,1,E,2573.513428,2567.196991,2577.498930,2574.403076,2577.772448,0.000000,37.592520,30.437134,6,6,6,0,9,15,113.84,0,450,1.94,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
