RAJ2000,DEJ2000,umag,gmag,Teff,Mass
9.547838, -0.7750260, 19.79, 19.50, 13659, 0.647
9.556324, -0.0245490, 19.32, 18.92, 12189, 0.673
9.567992, 0.8738810, 19.39, 19.51, 16154, 0.912
9.640264, 24.3395540, 18.69, 18.74, 16221, 0.662
9.690813, 7.1873220, 19.65, 19.79, 24395, 0.514
9.721523, -0.4907390, 19.01, 18.61, 8154, 0.513
9.725960, 15.9383380, 19.39, 19.36, 21575, 0.825
9.753487, 15.8358440, 18.94, 18.64, 14181, 0.784
9.776559, 25.1003740, 20.60, 20.32, 15677, 0.563
9.777137, 24.0038880, 20.30, 19.94, 12584, 0.739
9.787117, 23.9572530, 20.27, 19.85, 7535, 0.511
9.845111, 14.9721280, 20.60, 20.13, 8986, 0.525
9.845999, 0.5929100, 19.54, 19.09, 9913, 0.579
9.951190, -9.1053670, 19.34, 18.81, 9401, 0.765
9.954026, 14.7068410, 19.66, 19.33, 9653, 1.019
9.993595, 25.1604180, 18.86, 18.61, 16623, 0.600
10.005973, 0.9858090, 19.95, 19.41, 6670, 0.459
10.017463, 16.1804390, 20.30, 19.94, 11621, 0.588
10.068495, 14.9293640, 21.19, 20.69, 16107, 0.680
10.085614, 24.9092200, 19.66, 19.20, 10537, 0.730
10.092577, -1.0521340, 19.05, 18.80, 15474, 0.960
10.095354, -0.3583550, 15.21, 14.75, 15324, 0.469
10.196353, 24.3281700, 20.12, 20.03, 19452, 0.626
10.214037, 14.7264430, 20.30, 19.87, 14655, 0.491
10.228026, 25.9910700, 20.49, 20.29, 18625, 0.580
10.228345, 23.8457790, 17.81, 18.17, 37032, 0.458
10.258236, 15.9935260, 18.95, 18.99, 21743, 0.606
10.258903, 7.4941510, 20.42, 20.11, 15681, 0.534
10.262980, 14.3801690, 17.46, 17.41, 22611, 0.593
10.272890, 6.6978670, 19.02, 18.60, 9265, 0.771
10.281351, 0.0646260, 20.38, 19.88, 9231, 0.471
10.349927, 7.1386710, 19.75, 20.03, 32749, 0.584
10.501980, 24.2797820, 18.79, 18.86, 16227, 0.731
10.503511, 14.4678510, 20.39, 19.92, 16667, 0.615
10.507494, 23.7794220, 21.04, 20.32, 6631, 0.548
10.626033, -10.2554030, 19.27, 18.75, 11672, 0.725
10.636022, 25.7909170, 20.21, 20.15, 13578, 1.224
10.661111, -10.4425210, 18.17, 18.34, 26610, 0.566
10.674833, 24.4788840, 19.67, 19.41, 17866, 0.517
10.726041, 24.4339450, 20.35, 19.98, 7945, 0.569
10.728052, -9.1856630, 18.40, 18.32, 21419, 0.572
10.808479, -0.9125890, 18.47, 18.54, 23269, 0.640
10.823038, 24.4006930, 19.91, 19.66, 16201, 0.930
10.900124, 24.7071940, 20.00, 19.73, 16082, 0.521
10.902819, 14.0428150, 19.59, 19.25, 15775, 0.588
10.923872, 0.3901200, 20.15, 20.18, 14806, 1.205
10.940853, 0.9305510, 19.18, 18.72, 11935, 0.600
10.943167, 25.8195760, 18.71, 18.34, 15647, 0.572
10.992502, 14.7719940, 19.97, 19.88, 16353, 0.700
11.032725, -0.8092800, 20.15, 19.84, 16884, 0.693
11.063000, 25.7098960, 18.06, 17.75, 15667, 0.548
11.098188, 24.3914800, 19.49, 19.54, 27214, 0.470
11.115195, 13.6599880, 19.69, 19.24, 8640, 0.603
11.122615, -0.8647470, 19.41, 18.94, 13574, 0.562
11.122927, -0.3013150, 19.65, 19.79, 21511, 0.596
11.135636, 25.9270890, 19.53, 19.11, 13415, 0.747
