RAJ2000,DEJ2000,umag,gmag,Teff,Mass
8.098539,8.391540,19.72,19.48,13589,
8.125478,0.194011,18.60,18.62,14690,0.905
8.126919,-17.889800,16.83,16.47,12851,0.629
8.133611,15.524042,20.15,19.77,12616,
8.133611,15.524042,20.15,19.77,12362,0.813
8.138314,8.453838,20.33,19.89,9562,0.936
8.179453,14.343315,20.16,20.24,23409,0.785
8.179453,14.343315,20.16,20.24,20064,
8.184366,8.455572,20.61,19.65,6304,
8.238004,0.108719,20.37,20.23,9661,
8.256380,0.954699,20.76,20.71,6301,
8.275826,15.607628,20.07,20.22,31798,0.752
8.275826,15.607628,20.07,20.22,31778,
8.393468,8.493021,21.10,20.62,8089,0.528
8.412819,15.425840,20.70,20.30,12426,0.721
8.412819,15.425840,20.70,20.30,12323,
8.420464,-18.342317,16.39,16.48,15162,
8.429405,14.380967,17.22,17.54,50000,
8.437285,8.286660,21.74,20.34,6314,
8.467715,0.382545,20.80,20.27,7156,
8.486831,6.400303,16.69,16.72,21474,0.606
8.567413,-0.147182,17.72,17.66,10080,
8.567413,-0.147182,17.72,17.66,10080,
8.567413,-0.147182,17.72,17.66,10080,
8.601867,15.031281,20.52,20.00,10570,0.887
8.601867,15.031281,20.52,20.00,10582,
8.603945,6.954536,20.86,20.35,9964,0.558
8.604650,1.066624,19.94,19.67,14991,0.829
8.612204,15.300492,17.57,16.98,6849,
8.612204,15.300492,17.57,16.98,6796,
8.612204,15.300492,17.57,16.98,6776,0.452
8.651356,7.337231,18.53,18.58,15770,
8.652734,0.528215,18.47,18.58,15975,0.674
8.688988,15.415792,19.49,19.73,31266,0.543
8.688988,15.415792,19.49,19.73,31188,
8.735526,-10.487642,19.29,18.92,9888,0.651
8.776084,7.604626,19.45,19.31,19573,0.513
8.784431,13.845921,16.42,16.37,22510,0.422
8.784431,13.845921,16.42,16.37,12293,
8.798467,0.197325,16.89,16.47,9456,
8.798545,0.197631,0.00,,9435,
8.798545,0.197631,0.00,,9492,
8.798545,0.197631,0.00,,9438,0.697
8.801051,13.998399,20.75,20.33,12359,
8.801051,13.998399,20.75,20.33,10535,1.226
8.803147,0.627302,19.56,19.96,34309,0.563
8.996063,1.161515,19.84,19.39,10696,0.635
9.005734,-11.203876,17.54,17.04,10080,
9.007565,14.809702,19.56,19.44,21311,0.572
9.007565,14.809702,19.56,19.44,22390,
9.010801,7.013129,16.40,16.59,36364,
9.115220,24.585226,20.51,20.16,8708,0.714
9.116941,-0.523591,19.33,19.34,6305,
9.116941,-0.523591,19.33,19.34,6307,
9.150079,25.221765,20.79,20.10,6370,0.637
9.173370,24.368068,18.12,17.74,7832,0.682
9.180579,25.465263,20.54,20.20,16487,
9.180691,25.684954,18.13,18.03,20347,0.613
9.209399,24.530729,20.57,20.36,18327,0.495
9.210055,8.438728,19.93,19.47,7207,0.471
9.243183,15.064398,19.64,19.46,21079,0.571
9.243183,15.064398,19.64,19.46,19711,
9.296203,25.662392,19.87,19.66,16201,0.579
9.329670,0.527576,17.86,17.48,10916,
9.329670,0.527576,17.86,17.48,10957,0.919
9.355594,15.459035,19.40,19.00,8690,0.720
9.355594,15.459035,19.40,19.00,8696,
9.377442,-0.282733,20.50,19.97,8946,0.620
9.379463,1.163074,21.40,20.74,6300,
9.404430,7.442064,21.15,20.62,10137,
9.408417,-0.877609,18.83,18.79,19550,0.664
9.439688,7.739800,19.71,19.47,11308,
9.485629,24.362933,19.15,18.90,16077,0.578
9.497351,-1.119580,19.96,19.52,7712,
9.504984,15.477197,17.52,17.54,22340,
9.504984,15.477197,17.52,17.54,22271,0.664
9.547838,-0.775026,19.79,19.50,13659,0.647
9.556324,-0.024549,19.32,18.92,12189,0.673
9.567992,0.873881,19.39,19.51,16154,0.912
9.640264,24.339554,18.69,18.74,16221,0.662
9.690813,7.187322,19.65,19.79,24395,0.514
9.721523,-0.490739,19.01,18.61,8154,0.513
9.721523,-0.490739,19.01,18.61,8219,
9.721523,-0.490739,19.01,18.61,8215,
9.725960,15.938338,19.39,19.36,21575,0.825
9.725960,15.938338,19.39,19.36,20388,
9.732055,14.070046,19.88,19.82,14647,
9.732055,14.070046,19.88,19.82,15067,
9.753487,15.835844,18.94,18.64,14181,0.784
9.753487,15.835844,18.94,18.64,14090,
9.760289,-0.500112,19.24,18.77,12150,
9.776559,25.100374,20.60,20.32,15677,0.563
9.777137,24.003888,20.30,19.94,12584,0.739
9.787117,23.957253,20.27,19.85,7535,0.511
9.845111,14.972128,20.60,20.13,8986,0.525
9.845999,0.592910,19.54,19.09,9913,0.579
9.855097,25.806592,16.78,17.10,36443,
9.885374,6.315802,20.31,20.05,17120,
9.951190,-9.105367,19.34,18.81,9401,0.765
9.954026,14.706841,19.66,19.33,9690,
9.954026,14.706841,19.66,19.33,9417,
9.954026,14.706841,19.66,19.33,9653,1.019
9.993595,25.160418,18.86,18.61,16623,0.600
10.005973,0.985809,19.95,19.41,6670,0.459
10.017463,16.180439,20.30,19.94,11621,0.588
10.017463,16.180439,20.30,19.94,11864,
10.047872,7.048815,19.71,19.52,18529,
10.068495,14.929364,21.19,20.69,16107,0.680
10.085614,24.909220,19.66,19.20,10537,0.730
10.092574,-1.052114,19.05,18.80,15112,
10.092577,-1.052134,19.05,18.80,15662,
10.092577,-1.052134,19.05,18.80,15474,0.960
10.095314,-0.358354,15.21,14.75,16342,
10.095354,-0.358355,15.21,14.75,15324,0.469
10.162066,24.647993,20.05,19.72,14375,
10.162471,23.817920,19.51,19.28,10118,
10.196353,24.328170,20.12,20.03,19452,0.626
10.214037,14.726443,20.30,19.87,15985,
10.214037,14.726443,20.30,19.87,16645,
10.214037,14.726443,20.30,19.87,14655,0.491
10.228026,25.991070,20.49,20.29,18625,0.580
10.228345,23.845779,17.81,18.17,37032,0.458
10.258236,15.993526,18.95,18.99,21743,0.606
10.258272,15.993528,18.95,18.99,21465,
10.258272,15.993528,18.95,18.99,20732,
10.258272,15.993528,18.95,18.99,21000,
10.258903,7.494151,20.42,20.11,15681,0.534
10.262978,14.380171,17.46,17.41,22764,
10.262978,14.380171,17.46,17.41,21837,
10.262980,14.380169,17.46,17.41,22611,0.593
10.269539,15.673795,19.20,19.14,11410,
10.269539,15.673795,19.20,19.14,11019,
10.269539,15.673795,19.20,19.14,11258,
10.272890,6.697867,19.02,18.60,9265,0.771
10.281351,0.064626,20.38,19.88,9231,0.471
10.343717,-11.075693,19.79,19.26,6977,
10.348255,15.185836,19.82,19.44,10176,
10.348255,15.185836,19.82,19.44,10196,
10.348255,15.185836,19.82,19.44,10176,
10.349927,7.138671,19.75,20.03,32749,0.584
10.411170,15.184707,19.69,19.78,10125,
10.411170,15.184707,19.69,19.78,7537,
10.411170,15.184707,19.69,19.78,7290,
10.450234,-0.857630,20.28,20.08,12903,
10.450234,-0.857630,20.28,20.08,13253,
10.450248,-0.857618,20.28,20.08,12883,
10.501980,24.279782,18.79,18.86,16227,0.731
10.503466,14.467860,20.39,19.92,13027,
10.503466,14.467860,20.39,19.92,17231,
10.503466,14.467860,20.39,19.92,16800,
10.503511,14.467851,20.39,19.92,16667,0.615
10.507494,23.779422,21.04,20.32,6631,0.548
10.620148,-0.869569,19.40,20.36,50000,
10.626033,-10.255403,19.27,18.75,11672,0.725
10.636022,25.790917,20.21,20.15,13578,1.224
10.661111,-10.442521,18.17,18.34,26610,0.566
10.674833,24.478884,19.67,19.41,17866,0.517
10.681736,-0.574214,20.52,19.84,6332,
10.681736,-0.574214,20.52,19.84,6302,
10.700812,0.332016,19.99,19.52,10398,
10.726008,23.975360,20.91,20.48,11675,
10.726041,24.433945,20.35,19.98,7945,0.569
10.728052,-9.185663,18.40,18.32,21419,0.572
10.808479,-0.912589,18.47,18.54,23269,0.640
10.823038,24.400693,19.91,19.66,16201,0.930
10.830239,16.038865,17.95,17.44,7990,
10.900124,24.707194,20.00,19.73,16082,0.521
10.902819,14.042815,19.59,19.25,15775,0.588
10.923872,0.390120,20.15,20.18,13451,
10.923872,0.390120,20.15,20.18,14806,1.205
10.940853,0.930551,19.18,18.72,11935,0.600
10.943167,25.819576,18.71,18.34,15647,0.572
10.992488,14.771992,19.97,19.88,16672,
10.992488,14.771992,19.97,19.88,15227,
10.992488,14.771992,19.97,19.88,15975,
10.992502,14.771994,19.97,19.88,16353,0.700
10.995554,14.551572,20.36,20.21,10540,
11.032725,-0.809280,20.15,19.84,15570,
11.032725,-0.809280,20.15,19.84,16884,0.693
11.063000,25.709896,18.06,17.75,15667,0.548
11.098188,24.391480,19.49,19.54,27214,0.470
11.115195,13.659988,19.69,19.24,8824,
11.115195,13.659988,19.69,19.24,8640,0.603
11.115195,13.659988,19.69,19.24,8685,
11.122589,-0.864760,19.41,18.94,13755,
11.122615,-0.864747,19.41,18.94,11781,
11.122615,-0.864747,19.41,18.94,13574,0.562
11.122927,-0.301315,19.65,19.79,22232,
11.122927,-0.301315,19.65,19.79,21511,0.596
11.135636,25.927089,19.53,19.11,13415,0.747
11.173598,26.107172,21.16,20.60,10135,
11.188344,25.596859,18.84,18.51,16232,
11.259941,14.474716,20.24,19.98,16981,
11.259941,14.474716,20.24,19.98,15273,
11.259941,14.474716,20.24,19.98,16530,
11.259953,14.474700,20.24,19.98,17160,0.557
11.299795,25.058596,19.38,19.11,14070,
11.307835,14.380051,19.63,19.19,6984,
11.307835,14.380051,19.63,19.19,7049,
11.307835,14.380051,19.63,19.19,6854,
11.340149,25.951262,20.55,20.11,15899,0.603
11.350560,0.466852,19.40,19.16,10194,
11.365366,14.637831,18.11,17.82,23886,
11.365366,14.637831,18.11,17.82,26209,
11.370303,0.771234,19.33,19.26,19558,
11.370303,0.771234,19.33,19.26,17439,
11.370312,0.771239,19.33,19.26,18764,
11.403585,15.496255,21.79,20.51,8251,0.163
11.406084,1.116740,18.76,19.08,31266,
11.406084,1.116740,18.76,19.08,31034,0.589
11.406105,1.116714,18.76,19.08,31363,
11.417485,-0.404680,19.56,19.07,9392,0.847
11.428173,25.932330,20.55,20.39,14698,0.643
11.450918,0.085527,19.71,19.23,10048,0.704
11.491810,14.913842,18.86,18.33,6803,
11.491810,14.913842,18.86,18.33,6732,
11.491810,14.913842,18.86,18.33,6743,0.716
11.543192,13.652860,18.46,18.05,11220,
11.543192,13.652860,18.46,18.05,11012,0.805
11.543192,13.652860,18.46,18.05,10957,
11.549028,-0.128283,19.46,18.99,13372,
11.549045,-0.128315,19.46,18.99,13218,
11.549045,-0.128315,19.46,18.99,13037,0.657
11.668481,0.670904,19.65,19.30,13782,
11.668522,0.670907,19.65,19.30,15045,
11.668522,0.670907,19.65,19.30,12883,0.634
11.692338,0.408590,19.65,19.39,10267,
11.695627,-0.619858,19.83,19.42,9573,0.691
11.702754,25.154200,18.59,18.28,16232,0.564
11.774302,-0.805468,18.96,18.97,12562,
11.774308,-0.805429,18.96,18.97,12550,
11.919812,-0.005427,21.46,20.80,6300,
11.919812,-0.005427,21.46,20.80,6300,
11.919835,-0.005417,21.46,20.80,6300,
11.921051,0.700502,19.08,18.86,16487,
11.921062,0.700488,19.08,18.86,16552,
11.921062,0.700488,19.08,18.86,17027,0.627
11.966578,-0.269793,20.02,19.66,10006,0.772
12.020105,14.025056,19.89,19.44,9902,
12.020105,14.025056,19.89,19.44,9585,
12.020105,14.025056,19.89,19.44,9607,
12.033257,14.670977,21.01,20.53,12887,0.581
12.065427,0.342827,19.73,19.44,9720,
12.080307,16.066256,20.46,20.13,16279,
12.080307,16.066256,20.46,20.13,14462,
12.080307,16.066256,20.46,20.13,16530,0.447
12.081530,-0.347091,19.33,18.93,10219,0.760
12.126264,0.298002,18.28,18.11,10604,
12.126264,0.298002,18.28,18.11,10588,
12.126264,0.298002,18.28,18.11,10593,
12.136710,-0.061451,20.10,19.97,21356,
12.136710,-0.061451,20.10,19.97,21999,0.583
12.208803,-0.359827,19.44,19.25,16789,
12.208803,-0.359827,19.44,19.25,17684,0.612
12.208822,-0.359812,19.44,19.25,17160,
